SourceFile,Video Classes 1,Keywords
A003_C047_103061.mp4,Clapperboard,Washing Machine
A003_C048_1030TL.mp4,Clapperboard,Washing Machine
A003_C049_10305W.mp4,Application1,Washing Machine
A003_C050_103046.mp4,Application1,Washing Machine
A003_C051_10304S.mp4,Application1,Washing Machine
A003_C052_1030L2.mp4,Application1,Washing Machine
A003_C053_10305J.mp4,Application1,Washing Machine
A004_C001_1030EC.mp4,Clapperboard,Washing Machine
A004_C002_1030DJ.mp4,Application1,Washing Machine
A004_C003_1030PO.mp4,Application1,Washing Machine
A004_C004_1030KF.mp4,Clapperboard,Washing Machine
A004_C005_1030VZ.mp4,Application1,Washing Machine
A004_C006_1030A7.mp4,Application1,Washing Machine
A004_C007_1030I1.mp4,Application1,Washing Machine
A004_C008_1030W6.mp4,Application1,Washing Machine
A004_C009_1030ZY.mp4,Clapperboard,Washing Machine
A004_C010_10308O.mp4,Application1,Washing Machine
A004_C011_103033.mp4,Application1,Washing Machine
A004_C012_1030QE.mp4,Application1,Washing Machine
A004_C013_10303P.mp4,Application1,Washing Machine
A004_C014_1030S8.mp4,Application1,Washing Machine
A004_C015_1030P0.mp4,Application1,Washing Machine
A005_C001_1030FD.mp4,Clapperboard,Washing Machine
A005_C002_1030J5.mp4,Clapperboard,Washing Machine
A005_C003_1030MP.mp4,Application1,Washing Machine
A005_C004_1030AL.mp4,Application1,Washing Machine
A005_C005_1030H2.mp4,Application1,Washing Machine
A005_C006_1030T9.mp4,Application1,Washing Machine
A005_C007_1030PP.mp4,Application1,Washing Machine
A005_C008_1030Q3.mp4,Application2,Washing Machine
A005_C009_10307N.mp4,Clapperboard,?
A005_C010_1030FS.mp4,Application2,Washing Machine
A005_C011_1030XO.mp4,Clapperboard,Washing Machine
A005_C012_1030HC.mp4,,Washing Machine
A005_C013_1030UB.mp4,,Washing Machine
A005_C014_1030RI.mp4,Clapperboard,Washing Machine Tray
A005_C015_1030WA.mp4,Waiting Time,Washing Machine Tray
A005_C016_1030Z4.mp4,Waiting Time,Washing Machine Tray
A005_C017_1030Z5.mp4,Waiting Time,Washing Machine Tray
A005_C018_10308R.mp4,Waiting Time,Washing Machine Tray
A005_C019_1030PA.mp4,Waiting Time,Washing Machine Tray
A005_C020_1030JJ.mp4,Waiting Time,Washing Machine Tray
A005_C021_1030YQ.mp4,Clapperboard,Washing Machine Tray
A005_C022_10306U.mp4,Waiting Time,Washing Machine Tray
A005_C023_1030S6.mp4,Waiting Time,Washing Machine Tray
A005_C024_10302N.mp4,Clapperboard,Washing Machine Tray
A005_C025_10301K.mp4,Waiting Time,Washing Machine Tray
A005_C026_1030D0.mp4,Waiting Time,Washing Machine Tray
A005_C027_1030R8.mp4,Clapperboard,Washing Machine Tray
A005_C028_1030K2.mp4,Waiting Time,Washing Machine Tray
A005_C029_1030Z1.mp4,Clapperboard,Washing Machine Tray
A005_C030_1030YV.mp4,Waiting Time,Washing Machine Tray
A005_C031_1030OD.mp4,Waiting Time,Washing Machine Tray
A005_C032_103072.mp4,Waiting Time,Washing Machine Tray
A005_C033_10308A.mp4,Waiting Time,Washing Machine Tray
A005_C034_103048.mp4,Clapperboard,Top Washing Machine
A005_C035_10308R.mp4,Product opening,Top Washing Machine
A005_C036_1030L4.mp4,Product opening,Top Washing Machine
A005_C037_10303M.mp4,Product opening,Top Washing Machine
A005_C038_1030KR.mp4,Product opening,Top Washing Machine
A005_C039_1030SX.mp4,Product opening,Top Washing Machine
A005_C040_1030KB.mp4,Product opening,Top Washing Machine
A005_C041_1030Y1.mp4,Product opening,Top Washing Machine
A005_C042_1030KC.mp4,Product opening,Top Washing Machine
A005_C043_103078.mp4,Product opening,Top Washing Machine
A005_C044_1030G1.mp4,Product opening,Top Washing Machine
A005_C045_1030HP.mp4,Product opening,Top Washing Machine
A006_C001_1030GV.mp4,Clapperboard,"Front Washing Machine, empty"
A006_C002_103068.mp4,Application1,"Front Washing Machine, empty"
A006_C003_1030DM.mp4,Application1,"Front Washing Machine, empty"
A006_C004_10304Z.mp4,Application1,"Front Washing Machine, empty"
A006_C005_1030F5.mp4,Application1,"Front Washing Machine, empty"
A006_C006_1030P5.mp4,Application1,"Front Washing Machine, empty"
A006_C007_10303D.mp4,Application1,"Front Washing Machine, empty"
A006_C008_1030DZ.mp4,Application1,"Front Washing Machine, empty"
A006_C009_1030LA.mp4,Application1,"Front Washing Machine, empty"
A006_C010_1030KV.mp4,Application1,"Front Washing Machine, empty"
A006_C011_1030MY.mp4,Application1,"Front Washing Machine, empty"
A006_C012_1030G8.mp4,Application1,"Front Washing Machine, empty"
A006_C013_10301R.mp4,Application1,"Front Washing Machine, empty"
A006_C014_10306P.mp4,Application1,"Front Washing Machine, empty"
A006_C015_103051.mp4,Application1,"Front Washing Machine, empty"
A006_C016_1030AX.mp4,Application1,"Front Washing Machine, empty"
A006_C017_10301Z.mp4,Clapperboard,"Front Washing Machine, empty"
A006_C018_10306S.mp4,Application1,"Front Washing Machine, empty"
A006_C019_1030KK.mp4,Application1,"Front Washing Machine, empty"
A006_C020_1030VU.mp4,Application1,"Front Washing Machine, empty"
A006_C021_1030BW.mp4,Clapperboard,"Front Washing Machine, empty"
A006_C022_1030TR.mp4,Application1,"Front Washing Machine, empty"
A006_C023_1030HD.mp4,Application1,"Front Washing Machine, empty"
A006_C024_1030JI.mp4,Clapperboard,"Front Washing Machine, empty"
A006_C025_1030UG.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C026_1030D7.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C027_1030PG.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C028_1030SK.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C029_1030JI.mp4,Clapperboard,"Front Washing Machine, full, Whites"
A006_C030_1030IG.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C031_1030HK.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C032_1030RU.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C033_10306B.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C034_1030JK.mp4,Application1,"Front Washing Machine, full, Whites"
A006_C035_1030CT.mp4,Clapperboard,"Front Washing Machine, full, Coloureds"
A006_C036_1030T0.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C037_1030UZ.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C038_1030FS.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C039_10305B.mp4,Clapperboard,"Front Washing Machine, full, Coloureds"
A006_C040_1030VO.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C041_1030KU.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C042_1030CP.mp4,Application1,"Front Washing Machine, full, Coloureds"
A006_C043_10307X.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C001_1030FQ.mp4,Clapperboard,"Front Washing Machine, full, Coloureds"
A007_C002_1030VF.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C003_1030YL.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C004_1030C3.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C005_1030ND.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C006_1030LU.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C007_1030JF.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C008_1030Y2.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C009_1030AU.mp4,Clapperboard,"Front Washing Machine, full, Coloureds"
A007_C010_10300U.mp4,Application1,"Front Washing Machine, full, Coloureds"
A007_C011_1030JS.mp4,,"Front Washing Machine, full, Whites"
A007_C012_1030DD.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C013_1030MD.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C014_103031.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C015_103097.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C016_1030CA.mp4,Clapperboard,"Front Washing Machine, full, Whites"
A007_C017_10306S.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C018_1030GJ.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C019_1030LQ.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C020_1030TB.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C021_1030Y7.mp4,Clapperboard,"Front Washing Machine, full, Whites"
A007_C022_10305Q.mp4,Application1,"Front Washing Machine, full, Whites"
A007_C023_10305L.mp4,Application2,"Front Washing Machine, Washing, Whites"
A007_C024_1030VA.mp4,Application2,"Front Washing Machine, Washing, Coloureds"
A007_C025_1030M7.mp4,Results,"Laundry, Folded, Whites"
A007_C026_1030T7.mp4,Results,"Laundry, Folded, Whites"
A007_C027_1030Z1.mp4,Results,"Laundry, Folded, Whites"
A007_C028_10305O.mp4,Results,"Laundry, Folded, Coloured"
A007_C029_10306Z.mp4,Results,"Laundry, Folded, Coloured"
A007_C030_1030HF.mp4,Results,"Laundry, Folded, Coloured"
A007_C031_1030QF.mp4,Results,"Laundry, Folded, Coloured"
A008_C001_10319B.mp4,Splash Screen,Bathroom
A008_C002_103166.mp4,Splash Screen,Bathroom
A008_C003_1031GK.mp4,Splash Screen,Bathroom
A008_C004_1031JQ.mp4,Splash Screen,Bathroom
A008_C005_1031OF.mp4,Splash Screen,Bathroom
A008_C006_1031KZ.mp4,Splash Screen,Bathroom
A008_C007_1031GK.mp4,Splash Screen,Bathroom
A008_C008_1031FL.mp4,Splash Screen,Bathroom
A008_C009_1031OZ.mp4,Clapperboard,Bathroom
A008_C010_1031VX.mp4,Product opening,Bathroom
A008_C011_1031OA.mp4,Product opening,Bathroom
A008_C012_1031T1.mp4,Product opening,Bathroom
A008_C013_1031OC.mp4,Product opening,Bathroom
A008_C014_1031T0.mp4,Product opening,Bathroom
A008_C015_1031CX.mp4,Product opening,Bathroom
A008_C016_10317T.mp4,Clapperboard,Bathroom
A008_C017_1031CT.mp4,Product opening,Bathroom
A008_C018_1031EV.mp4,Product opening,Bathroom
A008_C019_1031CM.mp4,Product opening,Bathroom
A008_C020_1031ZN.mp4,Product opening,Bathroom
A008_C021_10314P.mp4,Product opening,Bathroom
A008_C022_10310W.mp4,Product opening,Bathroom
A008_C023_1031SJ.mp4,Product opening,Bathroom
A008_C024_10319T.mp4,Product opening,Bathroom
A008_C025_1031ZF.mp4,Clapperboard,Bathroom
A008_C026_1031A1.mp4,Clapperboard,Bathroom
A008_C027_1031WS.mp4,Product opening,Bathroom
A008_C028_1031GA.mp4,Product opening,Bathroom
A008_C029_1031M0.mp4,Product opening,Bathroom
A008_C030_103192.mp4,Clapperboard,Bathroom
A008_C031_10319I.mp4,Product opening,Bathroom
A008_C032_1031SQ.mp4,Product opening,Bathroom
A008_C033_1031NV.mp4,Product opening,Bathroom
A008_C034_1031SX.mp4,Product opening,Bathroom
A008_C035_1031MY.mp4,Clapperboard,Bathroom
A008_C036_1031JZ.mp4,Product opening,Bathroom
A008_C037_1031Z9.mp4,Product opening,Bathroom
A008_C038_1031MC.mp4,Product opening,Bathroom
A008_C039_103143.mp4,Product opening,Bathroom
